Institute Name,CourseName,Followers,type,Location,Day,Reach
naresh i technologies,full stack development,54368.0,post,hyderabad,monday,high
naresh i technologies,full stack development,54368.0,post,hyderabad,friday,high
naresh i technologies,full stack development,54368.0,post,hyderabad,sunday,high
naresh i technologies,full stack development,54368.0,reel,hyderabad,tuesday,high
naresh i technologies,full stack development,54368.0,post,hyderabad,monday,low
naresh i technologies,full stack development,54368.0,post,hyderabad,sunday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,friday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,wednesday,low
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,tuesday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,tuesday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,wednesday,high
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,wednesday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,saturday,high
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,monday,high
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,tuesday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,thursday,high
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,tuesday,low
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,sunday,high
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,thursday,high
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,wednesday,high
nxtwave disruptive technologies,full stack development,54368.0,post,hyderabad,thursday,high
saidemy,full stack development,54368.0,reel,hyderabad,wednesday,low
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,sunday,high
nxtwave disruptive technologies,gcp,54368.0,reel,hyderabad,sunday,low
nxtwave disruptive technologies,full stack development,54368.0,reel,hyderabad,monday,high
saidemy,full stack development,54368.0,reel,hyderabad,sunday,high
excelr,full stack development,10226.0,post,hyderabad,thursday,low
excelr,full stack development,10226.0,post,hyderabad,friday,high
excelr,full stack development,10226.0,post,hyderabad,tuesday,high
excelr,gcp,10226.0,post,hyderabad,wednesday,high
excelr,full stack development,10226.0,reel,hyderabad,saturday,moderate
excelr,full stack development,10226.0,post,hyderabad,tuesday,low
saidemy,full stack development,10226.0,post,hyderabad,thursday,high
excelr,full stack development,10226.0,reel,hyderabad,monday,low
excelr,full stack development,10226.0,reel,hyderabad,wednesday,high
excelr,full stack development,10226.0,reel,hyderabad,saturday,high
excelr,full stack development,10226.0,reel,hyderabad,monday,low
social prachar,full stack development,10226.0,reel,hyderabad,friday,low
excelr,full stack development,10226.0,post,hyderabad,friday,high
excelr,full stack development,10226.0,post,hyderabad,friday,moderate
excelr,full stack development,10226.0,post,hyderabad,sunday,low
excelr,full stack development,10226.0,post,hyderabad,wednesday,low
excelr,full stack development,10226.0,post,hyderabad,friday,low
excelr,full stack development,10226.0,post,hyderabad,wednesday,high
excelr,full stack development,10226.0,reel,hyderabad,wednesday,low
excelr,full stack development,10226.0,reel,hyderabad,thursday,low
excelr,full stack development,10226.0,reel,hyderabad,friday,high
excelr,full stack development,10226.0,post,hyderabad,friday,high
excelr,full stack development,10226.0,post,hyderabad,tuesday,high
excelr,full stack development,10226.0,post,hyderabad,thursday,high
excelr,full stack development,10226.0,post,hyderabad,friday,low
excelr,full stack development,10226.0,reel,hyderabad,saturday,high
excelr,full stack development,10226.0,reel,hyderabad,monday,high
excelr,full stack development,10226.0,reel,hyderabad,thursday,high
excelr,full stack development,10226.0,reel,hyderabad,sunday,low
social prachar,full stack development,15250.0,post,hyderabad,thursday,high
social prachar,full stack development,15250.0,post,hyderabad,wednesday,high
social prachar,full stack development,15250.0,post,hyderabad,tuesday,high
social prachar,full stack development,15250.0,post,hyderabad,tuesday,high
social prachar,full stack development,15250.0,post,hyderabad,friday,low
besant technologies,full stack development,54368.0,post,banglore,saturday,low
besant technologies,full stack development,54368.0,post,banglore,sunday,low
besant technologies,gcp,54368.0,post,banglore,tuesday,high
besant technologies,full stack development,54368.0,post,banglore,monday,high
besant technologies,full stack development,54368.0,post,banglore,thursday,high
besant technologies,full stack development,54368.0,post,banglore,saturday,low
besant technologies,gcp,54368.0,post,banglore,wednesday,low
besant technologies,full stack development,54368.0,post,banglore,thursday,low
besant technologies,full stack development,54368.0,post,banglore,monday,high
besant technologies,full stack development,10226.0,post,banglore,monday,low
fita academy,ds,18338.0,reel,banglore,wednesday,high
fita academy,full stack development,18338.0,reel,banglore,saturday,high
fita academy,full stack development,18338.0,reel,banglore,tuesday,high
fita academy,full stack development,18338.0,reel,banglore,sunday,high
fita academy,full stack development,18338.0,reel,banglore,tuesday,high
fita academy,full stack development,18338.0,reel,banglore,wednesday,high
fita academy,ds,18338.0,reel,banglore,tuesday,high
fita academy,full stack development,18338.0,post,banglore,saturday,high
fita academy,full stack development,18338.0,reel,banglore,tuesday,low
fita academy,full stack development,18338.0,post,banglore,saturday,high
fita academy,full stack development,18338.0,post,banglore,tuesday,low
fita academy,full stack development,18338.0,post,banglore,saturday,low
fita academy,full stack development,18338.0,post,banglore,tuesday,high
fita academy,full stack development,18338.0,post,banglore,sunday,high
fita academy,full stack development,18338.0,post,banglore,thursday,high
fita academy,full stack development,18338.0,post,banglore,thursday,high
fita academy,full stack development,18338.0,post,banglore,saturday,high
fita academy,full stack development,18338.0,post,banglore,tuesday,high
fita academy,full stack development,18338.0,post,banglore,tuesday,high
mindmajix,full stack development,2785.0,post,hyderabad,thursday,low
mindmajix,full stack development,2785.0,post,hyderabad,tuesday,high
mindmajix,full stack development,2785.0,post,hyderabad,saturday,low
mindmajix,full stack development,2785.0,post,hyderabad,monday,low
mindmajix,full stack development,2785.0,post,hyderabad,tuesday,high
mindmajix,full stack development,2785.0,post,hyderabad,friday,moderate
